date,borough,count
2010-01-01,Bronx,11104
2010-01-01,Brooklyn,23886
2010-01-01,Manhattan,16595
2010-01-01,Queens,23400
2010-01-01,Staten Island,6157
2010-01-01,UNSPECIFIED,80898
2010-02-01,Bronx,11075
2010-02-01,Brooklyn,24429
2010-02-01,Manhattan,15540
2010-02-01,Queens,22839
2010-02-01,Staten Island,7085
2010-02-01,UNSPECIFIED,59169
2010-03-01,Bronx,14455
2010-03-01,Brooklyn,32121
2010-03-01,Manhattan,19084
2010-03-01,Queens,32781
2010-03-01,Staten Island,11412
2010-03-01,UNSPECIFIED,63753
2010-04-01,Bronx,13077
2010-04-01,Brooklyn,27834
2010-04-01,Manhattan,20479
2010-04-01,Queens,28538
2010-04-01,Staten Island,7215
2010-04-01,UNSPECIFIED,45291
2010-05-01,Bronx,13942
2010-05-01,Brooklyn,29917
2010-05-01,Manhattan,21175
2010-05-01,Queens,30111
2010-05-01,Staten Island,7169
2010-05-01,UNSPECIFIED,37867
2010-06-01,Bronx,15702
2010-06-01,Brooklyn,28714
2010-06-01,Manhattan,19780
2010-06-01,Queens,28465
2010-06-01,Staten Island,6676
2010-06-01,UNSPECIFIED,37152
2010-07-01,Bronx,16962
2010-07-01,Brooklyn,30638
2010-07-01,Manhattan,20403
2010-07-01,Queens,29658
2010-07-01,Staten Island,6211
2010-07-01,UNSPECIFIED,39296
2010-08-01,Bronx,13922
2010-08-01,Brooklyn,28448
2010-08-01,Manhattan,18836
2010-08-01,Queens,28175
2010-08-01,Staten Island,6445
2010-08-01,UNSPECIFIED,40534
2010-09-01,Bronx,12790
2010-09-01,Brooklyn,28500
2010-09-01,Manhattan,19320
2010-09-01,Queens,35030
2010-09-01,Staten Island,6462
2010-09-01,UNSPECIFIED,39232
2010-10-01,Bronx,11855
2010-10-01,Brooklyn,26347
2010-10-01,Manhattan,19918
2010-10-01,Queens,27089
2010-10-01,Staten Island,6031
2010-10-01,UNSPECIFIED,60864
2010-11-01,Bronx,10837
2010-11-01,Brooklyn,24552
2010-11-01,Manhattan,19440
2010-11-01,Queens,23587
2010-11-01,Staten Island,5163
2010-11-01,UNSPECIFIED,75885
2010-12-01,Bronx,9717
2010-12-01,Brooklyn,23811
2010-12-01,Manhattan,14505
2010-12-01,Queens,22121
2010-12-01,Staten Island,5021
2010-12-01,UNSPECIFIED,90302
2011-01-01,Bronx,10791
2011-01-01,Brooklyn,24492
2011-01-01,Manhattan,14673
2011-01-01,Queens,23141
2011-01-01,Staten Island,6191
2011-01-01,UNSPECIFIED,79869
2011-02-01,Bronx,11957
2011-02-01,Brooklyn,25880
2011-02-01,Manhattan,17660
2011-02-01,Queens,24832
2011-02-01,Staten Island,7475
2011-02-01,UNSPECIFIED,58162
2011-03-01,Bronx,27719
2011-03-01,Brooklyn,45461
2011-03-01,Manhattan,28436
2011-03-01,Queens,33243
2011-03-01,Staten Island,8297
2011-03-01,UNSPECIFIED,11421
2011-04-01,Bronx,23847
2011-04-01,Brooklyn,42837
2011-04-01,Manhattan,26513
2011-04-01,Queens,29399
2011-04-01,Staten Island,6995
2011-04-01,UNSPECIFIED,8
2011-05-01,Bronx,23526
2011-05-01,Brooklyn,42117
2011-05-01,Manhattan,26813
2011-05-01,Queens,31341
2011-05-01,Staten Island,7494
