year,borough,complaint_type,count
2010,Bronx,Noise - Residential,31339
2010,Bronx,Water System,12444
2010,Bronx,Street Condition,11128
2010,Bronx,Street Light Condition,9201
2010,Bronx,Blocked Driveway,7429
2010,Bronx,Dirty Conditions,5709
2010,Bronx,General Construction/Plumbing,5349
2010,Bronx,Graffiti,4917
2010,Bronx,Rodent,4308
2010,Bronx,Sewer,4256
2010,Bronx,Building/Use,3415
2010,Bronx,Damaged Tree,3384
2010,Bronx,Sanitation Condition,3374
2010,Bronx,Noise - Street/Sidewalk,2888
2010,Bronx,Traffic Signal Condition,2657
2010,Bronx,Elevator,2486
2010,Bronx,Consumer Complaint,2372
2010,Bronx,Noise,2029
2010,Bronx,Illegal Parking,2027
2010,Bronx,Noise - Vehicle,1971
2010,Bronx,Sidewalk Condition,1902
2010,Bronx,Noise - Commercial,1829
2010,Bronx,Derelict Vehicle,1688
2010,Bronx,Overgrown Tree/Branches,1542
2010,Bronx,Traffic/Illegal Parking,1540
2010,Bronx,Derelict Vehicles,1432
2010,Bronx,Missed Collection (All Materials),1408
2010,Bronx,Root/Sewer/Sidewalk Condition,1135
2010,Bronx,Dead Tree,1029
2010,Bronx,Lead,974
2010,Bronx,New Tree Request,872
2010,Bronx,Snow,860
2010,Bronx,Indoor Air Quality,817
2010,Bronx,Food Establishment,771
2010,Bronx,Air Quality,717
2010,Bronx,Electrical,650
2010,Bronx,Street Sign - Damaged,584
2010,Bronx,Street Sign - Missing,505
2010,Bronx,Non-Emergency Police Matter,500
2010,Bronx,Broken Parking Meter,498
2010,Bronx,Boilers,471
2010,Bronx,Highway Condition,468
2010,Bronx,Plumbing,452
2010,Bronx,Maintenance or Facility,449
2010,Bronx,Taxi Complaint,406
2010,Bronx,For Hire Vehicle Complaint,394
2010,Bronx,Vending,374
2010,Bronx,Unsanitary Animal Pvt Property,372
2010,Bronx,Broken Muni Meter,371
2010,Bronx,Other Enforcement,366
2010,Bronx,Window Guard,355
2010,Bronx,Water Conservation,351
2010,Bronx,School Maintenance,331
2010,Bronx,Food Poisoning,318
2010,Bronx,Litter Basket / Request,275
2010,Bronx,Disorderly Youth,257
2010,Bronx,Street Sign - Dangling,219
2010,Bronx,Asbestos,215
2010,Bronx,Traffic,211
2010,Bronx,Smoking,210
2010,Bronx,Bus Stop Shelter Complaint,205
2010,Bronx,Hazardous Materials,204
2010,Bronx,Drinking,195
2010,Bronx,Noise - Park,183
2010,Bronx,Industrial Waste,177
2010,Bronx,Illegal Tree Damage,176
2010,Bronx,Non-Residential Heat,166
2010,Bronx,Unleashed Dog,164
2010,Bronx,Curb Condition,161
2010,Bronx,Emergency Response Team (ERT),154
2010,Bronx,Investigations and Discipline (IAD),153
2010,Bronx,BEST/Site Safety,148
2010,Bronx,Special Projects Inspection Team (SPIT),143
2010,Bronx,Public Payphone Complaint,135
2010,Bronx,Vacant Lot,134
2010,Bronx,Noise - House of Worship,122
2010,Bronx,Overflowing Litter Baskets,113
2010,Bronx,Homeless Encampment,110
2010,Bronx,Miscellaneous Categories,104
2010,Bronx,Unsanitary Pigeon Condition,100
2010,Bronx,Recycling Enforcement,97
2010,Bronx,Safety,94
2010,Bronx,Cranes and Derricks,86
2010,Bronx,Water Quality,84
2010,Bronx,Sweeping/Missed-Inadequate,76
2010,Bronx,Discipline and Suspension,65
2010,Bronx,Bridge Condition,63
2010,Bronx,Senior Center Complaint,62
2010,Bronx,Violation of Park Rules,61
2010,Bronx,Animal in a Park,58
2010,Bronx,City Vehicle Placard Complaint,57
2010,Bronx,Illegal Animal Kept as Pet,52
2010,Bronx,Teaching/Learning/Instruction,50
2010,Bronx,Scaffold Safety,49
2010,Bronx,Highway Sign - Damaged,36
2010,Bronx,Illegal Fireworks,36
2010,Bronx,Bus Stop Shelter Placement,36
2010,Bronx,HEATING,36
2010,Bronx,Urinating in Public,31
2010,Bronx,Plant,30
2010,Bronx,Tattooing,27
2010,Bronx,Adopt-A-Basket,26
2010,Bronx,GENERAL CONSTRUCTION,26
2010,Bronx,Posting Advertisement,24
2010,Bronx,Harboring Bees/Wasps,23
2010,Bronx,OEM Disabled Vehicle,23
2010,Bronx,PLUMBING,21
2010,Bronx,Registration and Transfers,21
2010,Bronx,Mold,19
2010,Bronx,Beach/Pool/Sauna Complaint,16
2010,Bronx,Bike/Roller/Skate Chronic,16
2010,Bronx,Health,16
2010,Bronx,Poison Ivy,14
2010,Bronx,Summer Camp,14
2010,Bronx,Noise - Helicopter,12
2010,Bronx,Parent Leadership,12
2010,Bronx,Municipal Parking Facility,11
2010,Bronx,Stalled Sites,11
2010,Bronx,PAINT - PLASTER,11
2010,Bronx,Unsanitary Animal Facility,9
2010,Bronx,Highway Sign - Missing,8
2010,Bronx,Collection Truck Noise,8
2010,Bronx,NONCONST,8
2010,Bronx,Drinking Water,7
2010,Bronx,Animal Facility - No Permit,7
2010,Bronx,Panhandling,5
2010,Bronx,Public Toilet,5
2010,Bronx,ELECTRIC,4
2010,Bronx,Highway Sign - Dangling,4
2010,Bronx,APPLIANCE,3
2010,Bronx,Found Property,3
2010,Bronx,Bottled Water,3
2010,Bronx,Calorie Labeling,2
2010,Bronx,Legal Services Provider Complaint,2
2010,Bronx,CONSTRUCTION,2
2010,Bronx,Portable Toilet,2
2010,Bronx,Illegal Animal Sold,1
2010,Bronx,Special Natural Area District (SNAD),1
2010,Bronx,Water Maintenance,1
2010,Bronx,Trans Fat,1
2010,Bronx,DOF Parking - Payment Issue,1
2010,Bronx,No Child Left Behind,1
2010,Brooklyn,Noise - Residential,34078
2010,Brooklyn,Street Condition,28924
2010,Brooklyn,Street Light Condition,19239
2010,Brooklyn,Blocked Driveway,18591
2010,Brooklyn,Water System,16846
2010,Brooklyn,General Construction/Plumbing,16162
2010,Brooklyn,Traffic Signal Condition,11670
2010,Brooklyn,Sewer,10807
2010,Brooklyn,Sanitation Condition,10459
2010,Brooklyn,Damaged Tree,9723
2010,Brooklyn,Dirty Conditions,9117
2010,Brooklyn,Building/Use,8882
2010,Brooklyn,Rodent,7355
2010,Brooklyn,Noise,6705
2010,Brooklyn,Illegal Parking,6392
2010,Brooklyn,Noise - Commercial,5983
2010,Brooklyn,Sidewalk Condition,5589
2010,Brooklyn,Graffiti,5293
2010,Brooklyn,Missed Collection (All Materials),4893
2010,Brooklyn,Consumer Complaint,4725
2010,Brooklyn,Noise - Street/Sidewalk,4554
2010,Brooklyn,Noise - Vehicle,4409
2010,Brooklyn,Snow,4396
2010,Brooklyn,Overgrown Tree/Branches,4376
2010,Brooklyn,Traffic/Illegal Parking,4228
2010,Brooklyn,Derelict Vehicles,3823
2010,Brooklyn,Lead,3723
2010,Brooklyn,New Tree Request,3630
2010,Brooklyn,Derelict Vehicle,3590
2010,Brooklyn,Root/Sewer/Sidewalk Condition,3069
2010,Brooklyn,Taxi Complaint,2665
2010,Brooklyn,Dead Tree,2267
2010,Brooklyn,Broken Parking Meter,2105
2010,Brooklyn,Elevator,1975
2010,Brooklyn,Street Sign - Damaged,1944
2010,Brooklyn,Electrical,1720
2010,Brooklyn,Other Enforcement,1626
2010,Brooklyn,Air Quality,1614
2010,Brooklyn,Food Establishment,1550
2010,Brooklyn,Indoor Air Quality,1544
2010,Brooklyn,Street Sign - Missing,1153
2010,Brooklyn,Plumbing,1135
2010,Brooklyn,Non-Emergency Police Matter,1043
2010,Brooklyn,Water Conservation,1025
2010,Brooklyn,Maintenance or Facility,1006
2010,Brooklyn,Highway Condition,935
2010,Brooklyn,Vending,918
2010,Brooklyn,OEM Disabled Vehicle,914
2010,Brooklyn,Litter Basket / Request,820
2010,Brooklyn,Broken Muni Meter,789
2010,Brooklyn,Food Poisoning,723
2010,Brooklyn,Window Guard,703
2010,Brooklyn,Emergency Response Team (ERT),682
2010,Brooklyn,Unsanitary Animal Pvt Property,670
2010,Brooklyn,School Maintenance,668
2010,Brooklyn,Noise - Park,667
2010,Brooklyn,Sweeping/Missed-Inadequate,639
2010,Brooklyn,Boilers,638
2010,Brooklyn,Special Projects Inspection Team (SPIT),601
2010,Brooklyn,For Hire Vehicle Complaint,585
2010,Brooklyn,Street Sign - Dangling,549
2010,Brooklyn,Illegal Tree Damage,547
2010,Brooklyn,Investigations and Discipline (IAD),535
2010,Brooklyn,Hazardous Materials,524
2010,Brooklyn,Overflowing Litter Baskets,522
2010,Brooklyn,Smoking,512
2010,Brooklyn,Curb Condition,508
2010,Brooklyn,Traffic,505
2010,Brooklyn,Asbestos,500
2010,Brooklyn,BEST/Site Safety,499
2010,Brooklyn,Recycling Enforcement,478
2010,Brooklyn,Homeless Encampment,465
2010,Brooklyn,Noise - House of Worship,461
2010,Brooklyn,Industrial Waste,430
2010,Brooklyn,Bus Stop Shelter Complaint,395
2010,Brooklyn,Drinking,344
2010,Brooklyn,Non-Residential Heat,343
2010,Brooklyn,Vacant Lot,282
2010,Brooklyn,Disorderly Youth,271
2010,Brooklyn,Public Payphone Complaint,263
2010,Brooklyn,Bridge Condition,254
2010,Brooklyn,Unleashed Dog,241
2010,Brooklyn,Water Quality,241
2010,Brooklyn,Noise - Helicopter,215
2010,Brooklyn,Unsanitary Pigeon Condition,206
2010,Brooklyn,Plant,203
2010,Brooklyn,Stalled Sites,165
